iter	Passed	Remaining
0	189	94330
1	244	60785
2	286	47480
3	336	41668
4	370	36655
5	414	34143
6	462	32549
7	510	31375
8	555	30324
9	602	29537
10	651	28955
11	696	28332
12	745	27932
13	793	27533
14	836	27062
15	890	26932
16	916	26043
17	971	26014
18	1026	25989
19	1080	25923
20	1129	25763
21	1183	25705
22	1234	25604
23	1286	25523
24	1333	25338
25	1381	25191
26	1434	25135
27	1478	24918
28	1525	24772
29	1566	24544
30	1604	24281
31	1650	24131
32	1693	23962
33	1733	23757
34	1783	23701
35	1822	23491
36	1865	23344
37	1911	23236
38	1959	23162
39	2012	23139
40	2063	23106
41	2113	23047
42	2172	23091
43	2232	23135
44	2282	23078
45	2339	23086
46	2387	23009
47	2426	22853
48	2478	22814
49	2531	22780
50	2581	22731
51	2640	22750
52	2690	22690
53	2737	22607
54	2780	22495
55	2807	22258
56	2834	22026
57	2867	21856
58	2911	21764
59	2956	21679
60	3002	21605
61	3048	21533
62	3070	21299
63	3120	21259
64	3172	21229
65	3225	21213
66	3275	21169
67	3332	21173
68	3382	21131
69	3434	21099
70	3489	21087
71	3539	21042
72	3607	21102
73	3656	21049
74	3705	20995
75	3756	20954
76	3805	20907
77	3862	20894
78	3908	20827
79	3958	20782
80	4005	20718
81	4053	20662
82	4097	20588
83	4141	20509
84	4186	20438
85	4236	20396
86	4281	20326
87	4342	20329
88	4388	20265
89	4443	20242
90	4489	20178
91	4540	20134
92	4589	20083
93	4632	20010
94	4679	19949
95	4727	19894
96	4776	19844
97	4826	19797
98	4879	19764
99	4931	19727
100	4993	19725
101	5045	19687
102	5072	19552
103	5102	19428
104	5136	19321
105	5175	19238
106	5207	19126
107	5242	19028
108	5271	18909
109	5313	18840
110	5354	18763
111	5400	18708
112	5442	18638
113	5484	18568
114	5528	18508
115	5575	18455
116	5612	18373
117	5649	18288
118	5695	18233
119	5741	18181
120	5785	18122
121	5832	18069
122	5869	17989
123	5893	17870
124	5918	17756
125	5947	17653
126	5976	17553
127	6006	17457
128	6045	17387
129	6093	17342
130	6128	17262
131	6159	17171
132	6182	17058
133	6207	16955
134	6254	16909
135	6306	16878
136	6351	16829
137	6396	16779
138	6442	16732
139	6497	16708
140	6551	16681
141	6603	16648
142	6650	16602
143	6702	16569
144	6749	16525
145	6804	16498
146	6860	16474
147	6901	16414
148	6941	16353
149	6982	16293
150	7012	16207
151	7040	16118
152	7064	16022
153	7086	15922
154	7110	15826
155	7132	15729
156	7156	15634
157	7187	15558
158	7238	15523
159	7287	15484
160	7333	15442
161	7382	15402
162	7425	15352
163	7469	15303
164	7518	15264
165	7570	15233
166	7619	15193
167	7670	15158
168	7717	15115
169	7765	15073
170	7812	15031
171	7867	15002
172	7919	14969
173	7971	14935
174	8022	14898
175	8067	14851
176	8123	14824
177	8172	14784
178	8218	14737
179	8265	14694
180	8312	14650
181	8361	14609
182	8411	14570
183	8458	14527
184	8496	14467
185	8537	14413
186	8583	14367
187	8627	14318
188	8676	14277
189	8727	14239
190	8775	14197
191	8822	14153
192	8873	14114
193	8921	14071
194	8971	14033
195	9019	13989
196	9062	13938
197	9092	13868
198	9123	13799
199	9158	13737
200	9199	13685
201	9287	13701
202	9309	13620
203	9334	13543
204	9373	13488
205	9422	13447
206	9467	13400
207	9512	13353
208	9559	13309
209	9601	13259
210	9651	13218
211	9697	13173
212	9747	13134
213	9800	13098
214	9851	13058
215	9902	13019
216	9952	12979
217	10000	12936
218	10043	12887
219	10094	12847
220	10155	12821
221	10228	12808
222	10274	12763
223	10318	12714
224	10352	12652
225	10376	12580
226	10403	12511
227	10428	12440
228	10451	12368
229	10474	12295
230	10500	12228
231	10527	12160
232	10551	12091
233	10581	12029
234	10633	11991
235	10682	11950
236	10721	11897
237	10753	11837
238	10789	11782
239	10819	11720
240	10851	11661
241	10888	11608
242	10939	11569
243	10975	11514
244	11010	11460
245	11055	11415
246	11091	11361
247	11119	11298
248	11143	11233
249	11178	11178
250	11222	11133
251	11264	11086
252	11299	11031
253	11325	10968
254	11360	10914
255	11385	10851
256	11409	10788
257	11433	10724
258	11460	10664
259	11491	10607
260	11532	10560
261	11560	10501
262	11595	10449
263	11626	10393
264	11662	10342
265	11691	10285
266	11718	10225
267	11744	10166
268	11772	10109
269	11802	10054
270	11825	9992
271	11847	9930
