iter	Passed	Remaining
0	47	38058
1	103	41189
2	150	39938
3	205	40883
4	275	43854
5	328	43480
6	381	43166
7	433	42890
8	486	42740
9	551	43532
10	605	43427
11	666	43737
12	716	43376
13	773	43452
14	834	43650
15	882	43237
16	915	42180
17	974	42354
18	1028	42264
19	1083	42249
20	1136	42163
21	1192	42184
22	1255	42422
23	1336	43211
24	1378	42730
25	1426	42478
26	1476	42265
27	1535	42347
28	1590	42278
29	1640	42102
30	1697	42106
31	1748	41958
32	1798	41795
33	1848	41638
34	1909	41742
35	1973	41876
36	2027	41802
37	2085	41815
38	2135	41672
39	2192	41650
40	2255	41747
41	2310	41698
42	2371	41757
43	2429	41746
44	2480	41615
45	2534	41547
46	2588	41469
47	2647	41473
48	2729	41829
49	2798	41979
50	2855	41931
51	2913	41903
52	2977	41967
53	3035	41930
54	3089	41845
55	3148	41832
56	3213	41893
57	3269	41821
58	3318	41679
59	3369	41560
60	3435	41616
61	3504	41715
62	3530	41300
63	3579	41164
64	3631	41067
65	3712	41283
66	3764	41187
67	3827	41197
68	3886	41178
69	3949	41187
70	4016	41237
71	4073	41189
72	4133	41162
73	4188	41089
74	4248	41064
75	4305	41013
76	4356	40909
77	4417	40893
78	4469	40794
79	4526	40737
80	4583	40685
81	4636	40596
82	4690	40515
83	4739	40398
84	4790	40300
85	4852	40283
86	4901	40165
87	4958	40122
88	5019	40096
89	5074	40033
90	5131	39979
91	5189	39932
92	5245	39878
93	5294	39766
94	5350	39705
95	5403	39624
96	5456	39548
97	5513	39497
98	5571	39452
99	5621	39352
100	5686	39353
101	5740	39280
102	5796	39226
103	5851	39157
104	5908	39111
105	5965	39055
106	6022	39006
107	6074	38923
108	6128	38851
109	6182	38778
110	6238	38724
111	6289	38635
112	6340	38547
113	6391	38461
114	6441	38366
115	6496	38308
116	6549	38234
117	6595	38122
118	6651	38063
119	6701	37974
120	6751	37889
121	6805	37819
122	6854	37728
123	6906	37650
124	6960	37588
125	7016	37532
126	7073	37484
127	7123	37399
128	7182	37358
129	7237	37302
130	7294	37252
131	7345	37170
132	7397	37096
133	7456	37057
134	7507	36983
135	7565	36938
136	7619	36875
137	7668	36786
138	7721	36717
139	7777	36664
140	7830	36596
141	7898	36600
142	7948	36518
143	8006	36473
144	8057	36395
145	8113	36345
146	8173	36309
147	8226	36240
148	8284	36195
149	8335	36122
150	8385	36039
151	8436	35967
152	8489	35900
153	8539	35820
154	8599	35785
155	8648	35704
156	8701	35636
157	8753	35569
158	8808	35512
159	8865	35462
160	8919	35400
161	8974	35342
162	9032	35299
163	9083	35225
164	9139	35174
165	9196	35123
166	9246	35048
167	9308	35019
168	9361	34951
169	9411	34878
170	9464	34812
171	9516	34745
172	9575	34703
173	9628	34638
174	9697	34632
175	9762	34612
176	9831	34604
177	9896	34582
178	9955	34538
179	10016	34502
180	10074	34452
181	10137	34421
182	10197	34382
183	10258	34344
184	10324	34322
185	10385	34281
186	10448	34249
187	10511	34219
188	10576	34192
189	10639	34158
190	10704	34131
191	10767	34097
192	10833	34070
193	10895	34035
194	10950	33973
195	11023	33969
196	11090	33947
197	11165	33948
198	11241	33949
199	11313	33941
200	11375	33899
201	11447	33888
202	11510	33851
203	11572	33809
204	11628	33750
205	11694	33721
206	11757	33682
207	11816	33630
208	11897	33642
209	11967	33622
210	12040	33611
211	12106	33577
212	12173	33548
213	12237	33511
214	12300	33467
215	12363	33426
216	12422	33374
217	12483	33327
218	12546	33284
219	12614	33256
220	12683	33228
221	12747	33189
222	12816	33161
223	12881	33124
224	12945	33083
225	13001	33020
226	13068	32987
227	13133	32948
228	13194	32899
229	13260	32863
230	13322	32815
231	13388	32777
232	13447	32725
233	13509	32677
234	13574	32636
235	13632	32579
236	13697	32539
237	13763	32499
238	13826	32455
239	13885	32400
240	13956	32371
241	14019	32326
242	14091	32299
243	14152	32249
244	14215	32202
245	14287	32175
246	14353	32134
247	14416	32088
248	14487	32058
249	14558	32029
250	14633	32006
251	14698	31962
252	14764	31921
253	14831	31881
254	14901	31847
255	14962	31794
256	15019	31733
257	15081	31681
258	15146	31638
259	15218	31607
260	15287	31571
261	15340	31500
262	15399	31442
263	15459	31386
264	15527	31348
265	15593	31303
266	15662	31265
267	15725	31215
268	15787	31164
269	15847	31108
270	15906	31049
271	15968	30997
272	16032	30948
273	16101	30910
274	16169	30869
275	16243	30838
276	16310	30795
277	16378	30754
278	16440	30701
279	16504	30650
280	16568	30601
281	16638	30562
282	16703	30514
283	16766	30462
284	16824	30402
285	16886	30349
286	16943	30285
287	17006	30234
288	17092	30221
289	17159	30177
290	17222	30123
291	17290	30080
292	17357	30034
293	17426	29993
294	17486	29934
295	17556	29892
296	17621	29843
297	17690	29800
298	17768	29771
299	17832	29720
300	17897	29670
301	17957	29611
302	18020	29557
303	18083	29504
304	18150	29456
305	18218	29411
306	18290	29371
307	18354	29319
308	18419	29269
309	18480	29210
310	18548	29165
311	18623	29128
312	18694	29087
313	18756	29031
314	18835	29000
315	18899	28947
316	18961	28890
317	19097	28947
318	19160	28890
319	19223	28835
320	19286	28779
321	19347	28721
322	19407	28661
323	19474	28611
324	19539	28557
325	19604	28504
326	19664	28443
327	19724	28384
328	19780	28318
329	19845	28264
330	19906	28205
331	19970	28151
332	20033	28095
333	20092	28032
334	20156	27978
335	20214	27915
336	20273	27854
337	20335	27795
338	20390	27729
339	20457	27677
340	20516	27615
341	20579	27559
342	20641	27501
343	20703	27443
344	20767	27389
345	20831	27333
346	20893	27275
347	20956	27219
348	21015	27157
349	21088	27114
350	21182	27096
351	21252	27048
352	21315	26991
353	21375	26930
354	21438	26874
355	21503	26819
356	21568	26764
357	21629	26704
358	21693	26648
359	21752	26586
360	21815	26528
361	21884	26479
362	21946	26420
363	22008	26362
364	22068	26300
365	22132	26244
366	22194	26185
367	22253	26123
368	22322	26073
369	22381	26010
370	22451	25961
371	22514	25903
372	22583	25852
373	22649	25798
374	22718	25748
375	22788	25697
376	22856	25645
